distance,altitude,link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
6,6,1to2,9,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,6,3.3333333333333335,3.8666666666666667,-14.133333333333333,0.9568466729604881,23.0,27.0,20.154630655056,-88.16407878107204,108.31870943612803
6,6,1to2,9,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,7,1.4666666666666666,2.933333333333333,-13.933333333333334,1.236482466066094,23.0,27.0,20.154630655056,-89.31033824927492,109.46496890433089
6,6,1to2,9,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,6,9.666666666666666,7.066666666666666,-16.333333333333332,1.07496769977314,23.0,27.0,20.154630655056,-80.97258885993882,101.1272195149948
6,6,1to2,9,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,6,1.6428571428571428,2.642857142857143,-15.857142857142858,1.5518257844571735,23.0,27.0,20.154630655056,-89.19302937497903,109.34766003003506
6,6,1to2,9,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,8,1.0,3.0,-14.8,0.7483314773547882,23.0,27.0,20.154630655056003,-90.53813402578427,110.69276468084027
6,6,1to2,32,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,5,3.466666666666667,4.0,-15.4,1.1430952132988164,23.0,27.0,20.260546181865358,-87.68306443891159,107.94361062077694
6,6,1to2,33,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,7,2.4615384615384617,3.3076923076923075,-13.76923076923077,1.6245163139956058,23.0,27.0,20.25666804233675,-89.20201516922171,109.45868321155845
6,6,1to2,33,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,10,1.0,2.6666666666666665,-9.0,0.816496580927726,23.0,27.0,20.256668042336756,-89.40146584899541,109.65813389133216
6,6,1to2,33,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,10,6.866666666666666,5.733333333333333,-13.866666666666667,1.14697670227235,23.0,27.0,20.25666804233675,-83.09720610858083,103.35387415091758
6,6,1to2,34,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,10,3.7333333333333334,4.266666666666667,-19.8,1.7204650534085253,23.0,27.0,20.25019932210045,-87.4207474345567,107.67094675665717
6,6,1to2,34,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,10,7.133333333333334,6.733333333333333,-13.533333333333333,1.203698005684519,23.0,27.0,20.25019932210045,-82.90601936110174,103.15621868320217
6,6,1to2,34,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,8,1.0,2.0,-14.0,0.0,23.0,27.0,20.250199322100443,-90.12594941437901,110.37614873647945
6,6,1to2,34,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,9,1.8333333333333333,3.1666666666666665,-11.166666666666666,1.9507833184532708,23.0,27.0,20.250199322100443,-89.62561176861409,109.87581109071455
6,6,1to2,34,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,9,1.0,3.0,-14.0,0.0,23.0,27.0,20.250199322100443,-91.20309891768304,111.45329823978348
6,6,1to2,36,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,2,10,15.266666666666667,12.6,-12.266666666666667,2.2350739485653612,22.0,27.0,20.199507448306445,-75.80854954336395,96.0080569916704
6,6,1to2,36,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,2,10,15.733333333333333,13.133333333333333,-10.333333333333334,1.699673171197595,22.0,27.0,20.199507448306445,-74.88708393839849,95.08659138670492
6,6,1to2,36,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,7,10.266666666666667,8.2,-12.466666666666667,1.9618585292749549,22.0,27.0,20.199507448306445,-80.08250083905308,100.28200828735952
6,6,1to2,36,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,8,7.6,6.466666666666667,-15.866666666666667,1.54344492037203,22.0,27.0,20.199507448306445,-82.25893167293616,102.45843912124263
6,6,1to2,36,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,2,11,12.333333333333334,10.0,-14.266666666666667,0.4422166387140533,22.0,27.0,20.199507448306445,-77.97424287870619,98.1737503270126
6,6,1to2,36,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,5,1.9090909090909092,3.272727272727273,-15.727272727272727,1.656442468935327,22.0,27.0,20.19950744830644,-87.83888191640244,108.03838936470888
6,6,1to2,36,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,5,4.866666666666666,4.866666666666666,-26.133333333333333,1.2036980056845192,22.0,27.0,20.199507448306445,-85.16826254311061,105.36776999141709
6,6,1to2,36,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,8,8.066666666666666,6.8,-15.733333333333333,1.4360439485692011,22.0,27.0,20.199507448306445,-82.19573082099303,102.39523826929947
6,6,1to2,36,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,4,10,1.6,3.2,-8.6,1.2,22.0,27.0,20.199507448306445,-89.17705492762181,109.37656237592826
6,6,1to2,37,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,2,9,16.733333333333334,13.933333333333334,-10.866666666666667,1.2036980056845192,22.0,28.0,20.18520776786699,-74.02018839225609,94.20539616012307
6,6,1to2,37,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,7,13.533333333333333,11.6,-5.866666666666666,3.9135093657171125,22.0,28.0,20.18520776786699,-76.744978288235,96.93018605610202
6,6,1to2,37,2,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,13,5.2,4.866666666666666,-10.0,0.7302967433402214,22.0,28.0,20.18520776786699,-84.54069601622369,104.72590378409069
6,6,1to2,37,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,5,11.466666666666667,9.333333333333334,-13.2,1.375984496036686,22.0,28.0,20.18520776786699,-78.62076677501742,98.80597454288437
6,6,1to2,37,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,5,3,7,10.0,8.066666666666666,-12.266666666666667,0.8537498983243799,22.0,28.0,20.18520776786699,-80.00791816415509,100.19312593202206
